date,BRENT Close,BRENT Volume,BRENT Price_Difference,BRENT Volume_Difference,USDX,USDX Price_Difference,SENT
2012-01-03,112.12999725341795,1064.0,0.0,0.0,79.61000061035156,0.0,-34.2966916190524
2012-01-04,113.6999969482422,1426.0,1.5699996948242472,362.0,80.08999633789062,0.4799957275390625,-35.87842515798579
2012-01-05,112.73999786376952,687.0,-0.9599990844726848,-739.0,80.94000244140625,0.850006103515625,-39.20183703215807
2012-01-06,113.05999755859376,709.0,0.3199996948242471,22.0,81.23999786376953,0.2999954223632812,-32.51385341628283
2012-01-09,112.4499969482422,595.0,-0.6100006103515625,-114.0,81.05000305175781,-0.1899948120117187,18.78600610471992
2012-01-10,113.27999877929688,715.0,0.8300018310546733,120.0,80.80000305175781,-0.25,-20.77558247514437
2012-01-11,112.23999786376952,783.0,-1.040000915527358,68.0,81.3499984741211,0.5499954223632812,-32.19132013581189
2012-01-12,111.26000213623048,513.0,-0.979995727539034,-270.0,80.7699966430664,-0.5800018310546875,-149.5199542345189
2012-01-13,110.44000244140624,801.0,-0.8199996948242472,288.0,81.43000030517578,0.660003662109375,-198.9079990189092
2012-01-17,111.52999877929688,858.0,1.0899963378906392,57.0,81.18000030517578,-0.25,-311.9620373056044
2012-01-18,110.66000366210938,911.0,-0.8699951171875,53.0,80.5999984741211,-0.5800018310546875,-491.7870750639022
2012-01-19,111.5500030517578,793.0,0.8899993896484233,-118.0,80.20999908447266,-0.3899993896484375,-525.8452065422534
2012-01-20,109.86000061035156,367.0,-1.6900024414062358,-426.0,80.22000122070312,0.0100021362304687,-445.0230668016731
2012-01-23,110.58000183105467,363.0,0.7200012207031108,-4.0,79.69000244140625,-0.529998779296875,-630.4669115611512
2012-01-24,110.02999877929688,524.0,-0.5500030517577983,161.0,79.86000061035156,0.1699981689453125,-766.8096029931233
2012-01-25,109.80999755859376,580.0,-0.2200012207031108,56.0,79.56999969482422,-0.2900009155273437,-831.3314709918542
2012-01-26,110.79000091552734,500.0,0.9800033569335797,-80.0,79.41000366210938,-0.1599960327148437,-924.523663247693
2012-01-27,111.45999908447266,1050.0,0.6699981689453125,550.0,78.9000015258789,-0.5100021362304688,-860.7019275716569
2012-01-30,110.75,453.0,-0.7099990844726562,-597.0,79.16000366210938,0.2600021362304687,-862.6208353419865
2012-01-31,110.9800033569336,712.0,0.2300033569335937,259.0,79.27999877929688,0.1199951171875,-959.8861050765707
2012-02-01,111.55999755859376,891.0,0.5799942016601705,179.0,78.91999816894531,-0.3600006103515625,-987.5975467615658
