iter,best_val_mse
0,2.2914387134530894
1,2.245347522742378
2,2.204226153568357
3,2.174173185072311
4,2.108925521834092
5,2.098494299040525
6,2.071091747052671
7,2.0514402277176904
8,1.9873775304489716
9,1.947621590597897
10,1.9163713151158943
11,1.9009426739936544
12,1.8569631444357642
13,1.809110067688666
14,1.788350688367229
15,1.7467999400463756
16,1.7235975444186096
17,1.6641721869025072
18,1.633885871436631
19,1.597346875401727
20,1.546460399964529
21,1.535911460543699
22,1.4997910938346006
23,1.460523608064279
24,1.4214875321475309
