iter,best_val_mse
0,2.6409415479584863
1,2.615873909310924
2,2.5755387066133766
3,2.5262525161801985
4,2.4952940767864837
5,2.463075739728704
6,2.4461250310500393
7,2.375988279232651
8,2.3357370381667844
9,2.288575237275563
10,2.216228319197382
11,2.206107459129369
12,2.16591902573219
13,2.16430386354764
14,2.0784465743813074
15,2.0450387282013502
16,1.9978059379567448
17,1.9372887709039146
18,1.9341496568946817
19,1.8860070911799394
20,1.8450252132204974
21,1.7750747888378122
22,1.7719470142188811
23,1.6836076938811075
24,1.6750930485544746
