iter,best_val_mse
0,2.230799964768516
1,2.152662465276888
2,2.124112027767498
3,2.098886124805689
4,2.056205095158155
5,2.0074163650364305
6,1.9953020288680772
7,1.9453623622606686
8,1.9321018850094427
9,1.8785565551975019
10,1.8781351077934927
11,1.8116584775665492
12,1.7836163014938042
13,1.764849778511146
14,1.7023454460189043
15,1.6880180294325322
16,1.6684827028709515
17,1.5940088540951982
18,1.5842724910170254
19,1.5509219799286518
20,1.5237153481429997
21,1.4615632325324408
22,1.4260291756523162
23,1.4169843886818079
24,1.379504786592584
