iter,best_val_mse
0,2.0380191911201386
1,2.0088261227025197
2,1.9836907148597633
3,1.9515459810397222
4,1.8888709244687598
5,1.8626879940027108
6,1.8493796862180083
7,1.8175908084073336
8,1.796480135061029
9,1.796480135061029
10,1.7229975616785016
11,1.6984011308341835
12,1.6643205992125878
13,1.6287016616910959
14,1.584643180116017
15,1.566522891617093
16,1.5152820097833992
17,1.4903212249632198
18,1.4553894175979305
19,1.4308255548122888
20,1.427429458655567
21,1.343187818011508
22,1.343187818011508
23,1.2821966714498765
24,1.264922123531309
