iter,best_val_mse
0,2.5931775027074573
1,2.5397396425046397
2,2.522656783460085
3,2.4624600076420915
4,2.4624600076420915
5,2.3883782603153634
6,2.3241591915603443
7,2.2804029293612627
8,2.265139385223381
9,2.2134468860494065
10,2.188252543966741
11,2.1440604834586243
12,2.0949457066123207
13,2.042156298089865
14,1.9910746033491653
15,1.9679903929128715
16,1.9486885741596718
17,1.8980220475303555
18,1.834173707932048
19,1.8167423692484246
20,1.779852857430748
21,1.719078682698693
22,1.6954986636082658
23,1.6536485573762234
24,1.593970746917779
