fitness,structure
2.5530164,"{'opt': 'SGD', 'learning_rate': 0.0077608474207288, 'n_hidden_units': 64, 'dropout': 0.39809849152382243, 'seq_len': 29, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.672041,"{'opt': 'SGD', 'learning_rate': 0.01, 'n_hidden_units': 16, 'dropout': 0.5, 'seq_len': 29, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.7191052,"{'opt': 'SGD', 'learning_rate': 0.004380811358934956, 'n_hidden_units': 64, 'dropout': 0.26567460231251766, 'seq_len': 29, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
4.017125,"{'opt': 'RMSprop', 'learning_rate': 0.005253998526599514, 'n_hidden_units': 64, 'dropout': 0.23589324737505268, 'seq_len': 3, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.36567,"{'opt': 'SGD', 'learning_rate': 0.01, 'n_hidden_units': 8, 'dropout': 0.4624089235781464, 'seq_len': 29, 'weight_decay': 0, 'h2': 111, 'features': ['BRENT Close', 'SENT']}"
8.7338505,"{'opt': 'RMSprop', 'learning_rate': 0.009661191417277096, 'n_hidden_units': 16, 'dropout': 0.3438672975550461, 'seq_len': 29, 'weight_decay': 0, 'h2': 124, 'features': ['SENT', 'BRENT Close']}"
3.0646317,"{'opt': 'SGD', 'learning_rate': 0.01, 'n_hidden_units': 32, 'dropout': 0.2, 'seq_len': 29, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
3.3461063,"{'opt': 'Adadelta', 'learning_rate': 0.007539859424839442, 'n_hidden_units': 16, 'dropout': 0.3831369677984564, 'seq_len': 29, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.710476,"{'opt': 'SGD', 'learning_rate': 0.0070500834977088095, 'n_hidden_units': 32, 'dropout': 0.5, 'seq_len': 19, 'weight_decay': 0, 'h2': 113, 'features': ['BRENT Close', 'SENT']}"
2.5300896,"{'opt': 'SGD', 'learning_rate': 0.006386663925011082, 'n_hidden_units': 32, 'dropout': 0.3010593863068803, 'seq_len': 29, 'weight_decay': 0, 'h2': 91, 'features': ['BRENT Close', 'SENT']}"
2.8790069,"{'opt': 'SGD', 'learning_rate': 0.01, 'n_hidden_units': 4, 'dropout': 0.38181871833573994, 'seq_len': 29, 'weight_decay': 0, 'h2': 64, 'features': ['BRENT Close', 'SENT']}"
3.7812004,"{'opt': 'Adam', 'learning_rate': 0.005948472652290778, 'n_hidden_units': 64, 'dropout': 0.2272393897744931, 'seq_len': 29, 'weight_decay': 0, 'h2': 109, 'features': ['BRENT Close', 'SENT']}"
2.83707,"{'opt': 'SGD', 'learning_rate': 0.01, 'n_hidden_units': 32, 'dropout': 0.3950079484889599, 'seq_len': 8, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
